Id;score;at;content;content_en
69;1;15/09/2025 13:28;Apa apan ngasih voucher diskon kayak yg bnr aja padahal bohong selalu di batalkan mulu mental mulu. Kalo kayak gitu mending ga usah nagsih diskon gak bisa co di batalin mulu. Menyebalkan yg sama pindah aja ke online shop lain yg gak php. satu lagi jangan beli voc vip percuma gak guna;What's wrong with giving discount vouchers like the real thing when it's a lie that you always get canceled all the time mentally?If that's the case, it's better not to ask for a discount, you can't just cancel it.It's annoying, just move to another online shop that doesn't have PHP.One more thing, don't buy a useless VIP VOC
70;5;15/09/2025 13:28;enak belanja di sini;nice shopping here
71;5;15/09/2025 13:28;good pokonya;good basically
72;1;15/09/2025 13:28;tolong review semua seller yg niat nipu. masa JBL charge 6 harga 900rb? yg nulis review produk juga di bulan dan waktu yg berdekatan kalau ngga mau dibilang sama. seller bikin produk harga murah, beli sendiri biar bisa direview. setelah review sudah cukup, naikkan harga. konsumen dapat ampas barang kw. belum lagi emas Antam, banyak bgt yg nipu jual dibawah harga butik Antam. review-nya juga sama berdekatan. hati-hati jadi bom waktu, orang jadi males belanja online.;Please review all sellers who intend to cheat.Is the JBL Charge 6 priced at 900 thousand?who wrote product reviews also in the same month and time, if you don't want to say it's the same.seller makes cheap products, buy it yourself so you can review it.once there are enough reviews, increase the price.Consumers can waste kw's goods.Not to mention Antam's gold, there are a lot of fraudulent people selling it below the Antam boutique price.the reviews are also close together.Be careful of being a time bomb, people will become lazy about shopping online.
73;5;15/09/2025 13:27;shopee terbaik untuk blnja kebutuhan;Shopee is the best for shopping for necessities
74;4;15/09/2025 13:26;okeh;ok
75;5;15/09/2025 13:26;Puas pokoknya belanja di shopee aplikasi yg sangat seru untuk belanja belanja;Basically satisfied with shopping on Shopee, a very exciting application for shopping
76;1;15/09/2025 13:25;scam voucher;scam voucher
77;1;15/09/2025 13:25;STOP DOBEL ORDER DAN HUB. HANYA DI KOPRUPSI ORANG KANTOR;STOP DOUBLE ORDERS AND HUB.JUST CORRUPTED BY OFFICE PEOPLE
78;5;15/09/2025 13:23;The Best;The Best
79;1;15/09/2025 13:23;saat buka aplikasi,selalu muncul vidio,bikin lelet aja,aplikasinya makin hari makin lemot;When you open the application, a video always appears, it just makes it slow, the application gets slower every day
80;5;15/09/2025 13:23;Bagus;Good
81;5;15/09/2025 13:22;mudah belanja;easy shopping
82;5;15/09/2025 13:22;Sangat membantu dan terpercaya. Gratis ongkir/diskon ongkirnya mantappp. Selalu langganan beli disini;Very helpful and trustworthy.Free shipping/discount on shipping is great.Always subscribe to buy here
83;5;15/09/2025 13:22;bagus;Good
84;1;15/09/2025 13:21;Tidak Percaya lagi beli apapun via online, pengalaman beli flashdisk baru via online shoppe harga murah, spek bagus, kenyataannya baru dipakai sebentar flashdisk tidak terbaca dan data pekerjaan penting hilang semua, tidak bisa diperbaiki lagi flashdisk nya, penjualan yg tidak amanah;Don't believe in buying anything online anymore, the experience of buying a new flash disk via an online shoppe, cheap price, good specs, in fact, the flash disk has only been used for a while, it can't be read and all important work data is lost, the flash disk can't be repaired, the sales are not trustworthy
85;1;15/09/2025 13:21;kapan mau ditambah fitur mode gelap dan nonaktifkan shopee live;when will you add the dark mode feature and deactivate shopee live
86;5;15/09/2025 13:21;ya bagus sekali 👌👌👌👌👌👌👌👌👌👌👌👌👌;yes, very good 👌👌👌👌👌👌👌👌👌👌👌👌👌
87;1;15/09/2025 13:20;pengiriman nya sangat lama, saya sudah tunggu sampai 2 Minggu tapi barangnya tidak-tidak sampai² juga;The delivery took a very long time, I waited up to 2 weeks but the goods never arrived
88;5;15/09/2025 13:20;aplikasi ini sangat mempermudah saya dalam belanja Dan juga bagus makanya saya kasi rating lima;This application makes shopping very easy for me and is also good, that's why I give it a five rating
89;5;15/09/2025 13:18;Bagus;Good
90;3;15/09/2025 13:17;Shopee tebak katanya kurang akurat. Ada katanya terdaftar di KBBI tpi dimasukkan di game ngg muncul. Semoga kedepannya bisa ditingkatkan.;Shopee's guess is not accurate.It is said that it is registered with the KBBI but is entered in the game and doesn't appear.Hopefully in the future it can be improved.
91;1;15/09/2025 13:16;parah shopee penanganan untuk laporan shopee pay lemott respon laporan nya lama padahal segini karyawan nya sendiri;Shopee's handling of Shopee Pay reports is really bad, the response to the report takes a long time even though it's the same as the employees themselves
92;5;15/09/2025 13:16;sangat membantu dan harganya murah2 dan banyak pilihian yang kita sukai;very helpful and the price is cheap and there are many choices that we like
93;4;15/09/2025 13:16;kasih bintang 4 dulu masih dalam percobaan;Give it 4 stars, still in testing
94;4;15/09/2025 13:15;Keren;Keren
95;5;15/09/2025 13:15;saya sudah lama belanja d shopee selalu langganan soalnya barang nya sesuai,sukses terusssss;I've been shopping at Shopee for a long time, always a customer because the goods are suitable, continued success
96;5;15/09/2025 13:15;bagus;Good
97;5;15/09/2025 13:13;bagus sih pelayannya klau dtng barang nya tidak bisa di rektur ,cuman klau LG cek out suka susah, sy udh lama belanja di shopee tolong di perbaiki sistim nya;The service is good, when the goods come, they can't be returned, but when LG checks out, it's difficult, I've been shopping at Shopee for a long time, please improve the system.
98;5;15/09/2025 13:12;Belanja di shopee hemat waktu dan biaya;Shopping at Shopee saves time and money
99;5;15/09/2025 13:11;mantap;solid
100;5;15/09/2025 13:10;the best ,kalau bisa dan ewalett nya ada;the best, if possible and ewalett is available
101;5;15/09/2025 13:09;shopee sangat memuaskan 😄;shopee is very satisfying 😄
102;5;15/09/2025 13:09;suka banget belanja disini, kalo ada uang digital🤣;I really like shopping here, if you have digital money🤣
103;1;15/09/2025 13:09;iklan dimana mana banyak penipuan ditokonya aplikasi ...... ingin kuberkata kasar babi;advertisements everywhere, lots of fraud in the application shop...... I want to say harsh words, pigs
104;5;15/09/2025 13:09;sangat mudah dan membantu;very easy and helpful
105;5;15/09/2025 13:09;keren;keren
106;4;15/09/2025 13:09;barang terkirim dg baik terlambat sayangnya;Item delivered well, unfortunately late
107;5;15/09/2025 13:08;layanan bagus;good service
108;5;15/09/2025 13:08;sangat membantu dalam belanja barang yg kita inginkan dan kita cari;Very helpful in shopping for the items we want and are looking for
109;5;15/09/2025 13:07;Murah tp lama ....;Cheap but old....
110;5;15/09/2025 13:07;baik ..tapi hati hati;OK..but be careful
111;5;15/09/2025 13:07;bagus banget tapi tolong tambahin fitur qris min shopee;Very good but please add the qris feature, min shopee
112;5;15/09/2025 13:07;Masih yang terbaik Dari segi tampilan dan sangat mudah digunakan;Still the best in terms of appearance and very easy to use
113;5;15/09/2025 13:06;Pelayanan Shopee Memuaskan;Shopee Service is Satisfactory
114;5;15/09/2025 13:06;jadi langganan belanja;become a shopping subscriber
115;5;15/09/2025 13:05;mantap;solid
116;5;15/09/2025 13:05;sangat menarik;very interesting
117;5;15/09/2025 13:03;sangat bagus;very good
118;5;15/09/2025 13:02;sangat membantu;very helpful
119;5;15/09/2025 13:02;terima kasih shopee pelayanan mantap;Thank you Shopee for great service
120;3;15/09/2025 12:59;aplikasi nya sudah cukup bagus,hanya saja setiap kali saya mau mendaftar spaylater selalu gagal dg alasan data ktp saya dg di aplikasi tidak valid,pdhl sudah saya chek semuanya sama dg ktp;the application is quite good, it's just that every time I want to register with spaylater it always fails because my ID card data in the application is invalid, even though I have checked everything is the same as with the ID card
121;1;15/09/2025 12:59;shopee celeng asuuu bajinag hanya mau login ke sepeleter kok gak bisa Jing lah;shopee celeng asuuu bajinag just want to log in to Sepeleter why can't Jing
122;5;15/09/2025 12:59;Hebat kamuuu;You are great
123;5;15/09/2025 12:59;bagus;Good
124;1;15/09/2025 12:58;Aplikasi bangus, tapi sayangnya sebagian layar HP ku tidak bisa di pencet jadi bintang tambahan nya aku simpan si sini ★★★★;Great application, but unfortunately some parts of my cellphone screen can't be pressed so I'll save the extra stars here ★★★★
125;5;15/09/2025 12:57;ok;ok
126;5;15/09/2025 12:56;Berbelanja lebih mudah;Shopping is easier
127;5;15/09/2025 12:55;sangat membatu;very petrified
128;5;15/09/2025 12:55;shopee sangat membantu untuk mencari barang yang saya sukai;shopee is very helpful to find items that I like
129;5;15/09/2025 12:55;bagus;Good
130;4;15/09/2025 12:55;mantap;solid
131;5;15/09/2025 12:54;sangat membantu dalam berbelanja,tidak ribet dan bisa cod;Very helpful in shopping, not complicated and can COD
132;1;15/09/2025 12:53;koin di Live ilang tiba tiba aneh! Udah 2 Hari benerin La !;coins in Live disappeared suddenly strangely!It's been 2 days to fix it La!
133;5;15/09/2025 12:51;Apk ini sangat bagus semoga terus dapat gratis ongkir nya kkk😁😁😁;This apk is very good, I hope you get free shipping, bro😁😁😁
134;1;15/09/2025 12:51;banyak verivikasi ga guna;many verifications are useless
135;5;15/09/2025 12:51;good;good
136;5;15/09/2025 12:49;sangat baik;Very good
137;5;15/09/2025 12:49;mantep;steady
138;5;15/09/2025 12:48;suka ajja belanja di shopee karena banyak gratis ongkir untuk min belanja RP 0....;I just like shopping at Shopee because there are lots of free shipping for a minimum purchase of IDR 0....
139;5;15/09/2025 12:47;Sangat baik buat belanja online,,, harga murah dan kalau boleh berikan saya selalu voucher GRATIS ONGKIR dan discount harga di shopee.....shopee sangat memuaskan pelanggan....mantap;Very good for online shopping... cheap prices and if possible, always give me FREE SHIPPING vouchers and price discounts on Shopee... Shopee really satisfies customers... great
140;5;15/09/2025 12:46;saya belum pernah kecewa sama barang dan jasa pengirimnya, trimakasih;I have never been disappointed with the goods and delivery service, thank you
141;5;15/09/2025 12:45;mempermudah belanja & bertransaksi sesuai order;makes shopping and transactions easier according to orders
142;5;15/09/2025 12:45;belanja d shopee lebih mudah dan menyenangkan;Shopping on Shopee is easier and more fun
143;1;15/09/2025 12:45;saya tertipu beli disini... seller sdh dibekukan tapi uang saya tidak kembali... pihak shopee terkesan lepas tangan dengan kerugian saya sebesar 271rb dan hanya menawarkan vocher 20rb... sdh bertahun tahun saya belanja disini dan kali ini saya kecewa... auto uninstal ga lagi belanja disini... saya akan menyarankan ke seluruh keluarga dan teman saya untuk uninstall aplikasi ini krn rawan penipuan dan tidak ada solusi;I was tricked into buying here... the seller has been frozen but my money hasn't been returned... Shopee seemed to be hands off with my loss of 271 thousand and only offered a 20 thousand voucher... I've been shopping here for years and this time I'm disappointed... auto uninstall no more shopping here... I will advise all my family and friends to uninstall this application because it is prone to fraud and there is no solution
144;5;15/09/2025 12:44;bagus murah bnget;good, really cheap
145;5;15/09/2025 12:44;udah jadi langganan shoope selalu beli apa2 d shoope;I have become a Shopee subscriber and always buy what I buy at Shopee
146;5;15/09/2025 12:42;banyak bonus dan murah meriah..;lots of bonuses and cheap prices..
147;1;15/09/2025 12:42;apa kok gak bisa cod sekarang mana pengirimanya lambat sampek 8 hari lagi;why can't I code now but the delivery is slow, up to 8 days
148;4;15/09/2025 12:42;Bagus;Good
149;5;15/09/2025 12:42;Memudahkan kita untuk belanja;Makes it easier for us to shop
150;5;15/09/2025 12:42;bagus. gratis ongkir lebih murah dari toko sblah;Good.free shipping cheaper than the shop next door
151;5;15/09/2025 12:40;lebih mudah belanja di shopi . the bestt;It's easier to shop on Shopee.the best
152;1;15/09/2025 12:40;pengiriman jadi sangat lama sekarang, entah kenapa dulu barang 4-5hari sampai sekarang lebih dari 8 hari;Delivery is taking a very long time now, for some reason it used to take 4-5 days until now it takes more than 8 days
153;5;15/09/2025 12:39;bagus aplikasi ya tapi lebih di perkuwat biyar klo buka aplikasi biyar cepat;It's a good application, but you need to pay more attention to opening the application quickly
154;5;15/09/2025 12:39;the best Shopie daripada Tokopedia atw tiktok shop smoga aja nda kyak mereka pelayanan buruk shopiee the best Forever;the best Shopie than Tokopedia or tiktok shop hopefully you don't think they have bad service shopiee the best Forever
155;1;15/09/2025 12:39;wajar jnt keluar dari shopee, ternyata spx nya sampah udah lewat estimasi bahkan 2 hari lewat estimasi blm datang, mending toko pedia,;It's natural for me to leave Shopee, it turns out the rubbish spx is already past the estimate, even 2 days past the estimate and it hasn't arrived yet, it's better to go to Tokopedia.
156;4;15/09/2025 12:38;bagus bangettt;really good
157;5;15/09/2025 12:37;belanja gak ribet dan murah;shopping is not complicated and cheap
158;1;15/09/2025 12:37;shopee maling,limit spylater sya di maling sama shopee;Shopee is wrong, limit spaylater is not wrong with Shopee
159;1;15/09/2025 12:35;Aplikasi yang main asal pembatasan akun ...tidak ada pelanggaran apapun dan rawan penipuan.;Applications that play as long as there are account restrictions... there are no violations whatsoever and are prone to fraud.
160;5;15/09/2025 12:35;sofy mantab;An attentive Sufi
161;1;15/09/2025 12:34;HENDRY SANJAYA TEMAJUK INDONESIA;HENDRY SANJAYA TEMAJUK INDONESIA
162;5;15/09/2025 12:34;sangat bagus;very good
163;4;15/09/2025 12:34;dlu suka pake ekspedisi jnt tpi sejak gnti k ekspedisi spx paket ku slalu datang terlambat.;then like a jent expedition but as a result of my expedition spx packets I always come.
164;1;15/09/2025 12:33;tolong pihak shope. kembalikan fitur blokir saya sudah gedeg liat pembeli seenaknya pengembalian dan dichat tidak ada respon;please shopee.return the blocking feature, I'm already excited to see buyers go around returning it and in chat there's no response
165;5;15/09/2025 12:33;shopy emng terbaik;shopy is the best
166;5;15/09/2025 12:32;Sngat membantu;Very helpful
167;5;15/09/2025 12:32;memudahkan belanja masa kini🥰🥰😍😍😘😘;make it easier to shop nowadays
168;5;15/09/2025 12:32;saya suka belanja dshopee tolong shopee pedagang2 tdk amanah dstop aja jualan nya;I like shopping at Shopee. Please shopee, untrustworthy traders, just stop selling them
169;5;15/09/2025 12:31;coba dlu;try it first
170;5;15/09/2025 12:31;Pelayanan bagus;Good service
171;5;15/09/2025 12:30;Ok good joob.sukses terus dn amanah jgn pernah berubah..ok.;OK, good job. Continue success and trust, never change.. OK.
172;5;15/09/2025 12:30;mantaf belanja dishope;great shopping at shopee
173;5;15/09/2025 12:29;senang belanja di sini😊☺;happy shopping here😊☺
174;5;15/09/2025 12:27;sangat bermanfaat bagi saya;very useful for me
175;5;15/09/2025 12:27;sopi ok;fit ok
176;5;15/09/2025 12:27;👍👍👍;👍👍👍
177;5;15/09/2025 12:26;bagus langganan lama belanja shopee;Good old shopee shopping subscription
178;5;15/09/2025 12:26;good;good
179;5;15/09/2025 12:26;terbaikkkkkkk;the best
180;5;15/09/2025 12:25;poinnya bisa ga jadiin rupiah lagi;the points can no longer be converted into rupiah
181;5;15/09/2025 12:24;Enak belanja di shopee tingal tunggu barang sampai aku minta kualitasnya diutamakan supaya pembeli tidak kecewa.;It's nice to shop at Shopee, just wait for the goods until I ask for quality to be prioritized so that buyers don't get disappointed.
182;5;15/09/2025 12:24;sangat membantu;very helpful
183;5;15/09/2025 12:23;oke;limit
184;5;15/09/2025 12:23;sangat baik dan bagus sekali;very good and very good
185;5;15/09/2025 12:22;semoga semakin bagus dan berguna aplikasinya;Hopefully the application will get better and more useful
186;5;15/09/2025 12:22;sangat membantu;very helpful
187;5;15/09/2025 12:21;baik;Good
188;5;15/09/2025 12:21;sangat mudah untuk mu OK;very easy for you OK
189;5;15/09/2025 12:20;sangat memuaskan;very satisfactory
190;5;15/09/2025 12:20;bagus sekli;very good
191;5;15/09/2025 12:20;belanja disopimemang oke tapi masalah onkirtolong disesuaikan aja karena barang yang dipesan setelah dilihat onkirnya terlalu mahal ahirnyadi batalkan;Shopping at Shopee is okay, but please adjust the postage problem because the items you ordered, after looking at the postage, were too expensive, in the end they were cancelled.
192;5;15/09/2025 12:20;bagus sih kalo komplen cepwt banget ditanggapi CS nya gercep..cuma pernah juga sih ketipu disini tapi tokonha kyanya dh diblokir juga si;It's good if the complaint is really quick, the CS responds quickly.. I've only been cheated here before, but the store has been blocked too.
193;5;15/09/2025 12:19;pokok nya mantap dan oke banget;Basically it's great and really good
194;1;15/09/2025 12:19;bisa gak sih awal buka app nya gak langsung muncul shopee video.. risih cokkk;Is it possible that when you first open the app the shopee video doesn't immediately appear... I'm uncomfortable
195;5;15/09/2025 12:19;👍👍👍;👍👍👍
196;5;15/09/2025 12:19;sangat senang karena barang sesuai makasih saya sangat puas dengan pelayanan kurir ,tokonya amanah pokoknya puas deh;Very happy because the goods match, thank you. I am very satisfied with the courier service, the shop is trustworthy, I'm really satisfied
197;1;15/09/2025 12:17;sumpah... penyelesaikan masalah berbelit banget, padahal udah member platinum. pembayaran paylater tidak langsung terverifikasi, akhirnya kena denda. di janjikan akan diganti dan mengembalikan dana denda, sampe sekarang ndak jelas penyelesaian nya...;I swear... solving the problem is really complicated, even though you are already a platinum member.paylater payments are not immediately verified, ultimately subject to fines.promised to replace it and refund the fine, until now the solution is unclear...
198;5;15/09/2025 12:17;Shopee sangat bagus, bagi diskon min;Shopee is very good, give a discount min
199;5;15/09/2025 12:17;paling murah barang di shoppee saya senang;Cheapest item on Shopee, I'm happy
200;5;15/09/2025 12:16;bagus sihh udah itu az;that's good, that's all
201;3;15/09/2025 12:16;setiap hari minta update fitur terus.;every day ask for feature updates.
202;5;15/09/2025 12:16;terima kasih shoope atas kerja sama yg baik dengan belanja di shoope kita bisa mendapatkan barang yang kita inginkan,,;Thank you Shope for your good cooperation. By shopping at Shope we can get the items we want...
203;5;15/09/2025 12:16;trima kasih;Thank You
204;5;15/09/2025 12:15;bermanfaat;beneficial
205;5;15/09/2025 12:15;mantap;solid
206;1;15/09/2025 12:15;suka lag gajelas;I like unclear lag
207;5;15/09/2025 12:15;aku suka belanja di sini, murah;I like shopping here, it's cheap
208;5;15/09/2025 12:14;bagus sekali aplikasi ini bisa kita bon ap aj Di aplikasi ini loh;This application is very good. We can download anything from this application
209;5;15/09/2025 12:14;cuma kadang suka lag klo lagi war Shopee;it's just that sometimes I like to lag when it's Shopee war
210;5;15/09/2025 12:14;sangat bagus;very good
211;1;15/09/2025 12:12;ngelag ngelag padahal udah update terbaru;lagging even though it's the latest update
212;5;15/09/2025 12:11;baik;Good
213;3;15/09/2025 12:11;sangat membantu;very helpful
214;1;15/09/2025 12:10;tiba-tiba aja hp ku sm hp suami di banned gak bisa lagi login akun shopee padahal gak pernah lakuin pelanggaran, cuma untuk belanja doang. yasudah kalau gak bisa pakai shopee lagi mending di hapus aja aplikasinya ,daripada penuhin memori gak bisa di pakai juga bye;Suddenly my cellphone and my husband's cellphone were banned and I could no longer log in to my Shopee account even though I had never committed any violations, only for shopping.OK, if you can't use Shopee anymore, it's better to just delete the application, instead of filling up the memory and not being able to use it, bye
215;5;15/09/2025 12:10;aplikasi bagus;good app
216;5;15/09/2025 12:09;bagus lah;it's good
217;1;15/09/2025 12:09;shopee godd job 👍❤️;shopee good job 👍❤️
218;5;15/09/2025 12:08;nyaman;comfortable
219;5;15/09/2025 12:08;baik;Good
220;5;15/09/2025 12:07;sangat membantu;very helpful
221;5;15/09/2025 12:06;mantap;solid
222;5;15/09/2025 12:06;mantap;solid
223;5;15/09/2025 12:06;tanpa harus kemana2 barang bisa langsung kerumah;Without having to go anywhere, you can go straight to your home
224;1;15/09/2025 12:05;saya udah isi shopeepay 1094000 nuntuk barang yang mau saya beli harga 1082000 tapi keterangan masih kurang saldonya . perbaiki sistemnya. jangan ga jelas gini.;I have filled in Shopeepay 1094000 for the item I want to buy for 1082000 but the balance is still insufficient.fix the system.don't be so unclear.
225;5;15/09/2025 12:04;barang sampai dalam keadaan baik;goods arrived in good condition
226;5;15/09/2025 12:03;Narto service;Narto service
227;5;15/09/2025 12:03;good;good
228;5;15/09/2025 12:03;cepat tepat;fast and precise
229;5;15/09/2025 12:02;saya suka dengan aplikasi ini bisa belanja apasajah yang di butuhkan;I like this application, I can shop for whatever I need
230;1;15/09/2025 12:02;tolong suara video orang di offkan ganggu banget padahal kita ga buka video itu;please turn off the sound of people's videos, it's really annoying even though we don't open the video
231;5;15/09/2025 12:02;pelayanan yang maksimal;maximum service
232;5;15/09/2025 12:01;bagus;Good
233;5;15/09/2025 12:01;good;good
234;5;15/09/2025 12:00;shofee mantap;Shofee Mantap
235;5;15/09/2025 11:59;apk bagus sekali;very good apk
236;5;15/09/2025 11:59;tempat belanja online terbaik!!!;the best online shopping place!!!
237;5;15/09/2025 11:57;nomor telepon kurir tolong ditampil kan di pesanan,biar bisa di hubungin kapan pesanan sampai,satu lagi,kalau penerima tidak dirumah,kurir tidak menelepon saya;Please display the courier's telephone number on the order, so you can contact me when the order arrives. One more thing, if the recipient is not at home, the courier will not call me
